Tipo de Tarefa;Modelo;Comp1;Comp2;Comp3;Comp4;Comp5;Comp6;Comp7;Comp8;Comp9;Comp10;Comp11;Comp12;Comp13;Comp14
AB;tomate;bico;;;;;;;;;;;;;
AB;tatu;tubo;;;;;;;;;;;;;
AB;luva;vaca;;;;;;;;;;;;;
AB;cavalo;muleta;luva;;;;;;;;;;;;
AB;tomate;tatu;bolo;;;;;;;;;;;;;;
AB;tatu;vaca;tomate;;;;;;;;;;;;
AB;luva;muleta;cavalo;tatu;;;;;;;;;;;;
AB;cavalo;mala;tomate;luva;;;;;;;;;;
AB;tomate;luva;cavalo;apito;bolo;;;;;;;;;
AC;tatu;pipa;;;;;;;;;;;;;
AC;luva;bico;;;;;;;;;;;;;
AC;cavalo;tubo;tomate;;;;;;;;;;;;
AC;tomate;tatu;tubo;;;;;;;;;;;;
AC;tatu;luva;bico;;;;;;;;;;;
AC;luva;pato;cavalo;pipa;;;;;;;;;;;
AC;cavalo;luva;mala;fita;;;;;;;;;;;
AC;tomate;tubo;luva;vaca;bolo;;;;;;;;;;
BC;tatu;vaca;;;;;;;;;;;;;
BC;luva;muleta;;;;;;;;;;;;;
BC;cavalo;mala;bolo;;;;;;;;;;;;
BC;tomate;tatu;apito;;;;;;;;;;;;
CB;tatu;muleta;;;;;;;;;;;;;
CB;luva;tubo;;;;;;;;;;;;;
CB;cavalo;mala;bico;;;;;;;;;;;;
CB;tomate;vovô;pipa;;;;;;;;;;;;
CE;ta-tu;va-ca;;;;;;;;;;;;;
CE;lu-va;ma-la;;;;;;;;;;;;;
CE;ca-va-lo;pa-to;mu-le-ta;;;;;;;;;;;
CE;to-ma-te;vo-vô;bi-co;;;;;;;;;;;;
BE;ta-tu;vo-vô;;;;;;;;;;;;;
BE;lu-va;mu-le-ta;;;;;;;;;;;;;
BE;ca-va-lo;bo-lo;;;;;;;;;;;;;
BE;to-ma-te;fi-ta;mu-le-ta;;;;;;;;;;;;
BE;ta-tu;ma-la;pa-to;;;;;;;;;;;;
BE;lu-va;tu-bo;a-pi-to;;;;;;;;;;;;
BE;ca-va-lo;bo-lo;pi-pa;fi-ta;
BE;to-ma-te;ma-la;fi-ta;pa-to;
AE;ta-tu;pa-to;;;
AE;lu-va;bi-co;;;
AE;ca-va-lo;vo-vô;;;
AE;to-ma-te;va-ca;pi-pa;;
AE;ta-tu;bi-co;a-pi-to;;
AE;lu-va;mu-le-ta;ma-la;;
AE;ca-va-lo;tu-bo;a-pi-to;bi-co;
AE;to-ma-te;va-ca;bo-lo;ma-la;